ds;y
01/02/2017;250
02/02/2017;330
03/02/2017;280
04/02/2017;320
05/02/2017;340
06/02/2017;250
07/02/2017;250
08/02/2017;270
09/02/2017;270
10/02/2017;250
11/02/2017;340
12/02/2017;330
13/02/2017;260
14/02/2017;250
15/02/2017;280
16/02/2017;250
17/02/2017;300
18/02/2017;300
19/02/2017;430
20/02/2017;210
21/02/2017;280
22/02/2017;230
23/02/2017;300
24/02/2017;350
25/02/2017;340
26/02/2017;340
27/02/2017;180
28/02/2017;300
01/03/2017;400
02/03/2017;410
03/03/2017;420
04/03/2017;460
05/03/2017;390
06/03/2017;330
07/03/2017;250
08/03/2017;360
09/03/2017;340
10/03/2017;330
11/03/2017;380
12/03/2017;340
13/03/2017;300
14/03/2017;360
15/03/2017;390
16/03/2017;410
17/03/2017;330
18/03/2017;380
19/03/2017;440
20/03/2017;220
21/03/2017;230
22/03/2017;370
23/03/2017;300
24/03/2017;370
25/03/2017;350
26/03/2017;350
27/03/2017;250
28/03/2017;390
29/03/2017;200
30/03/2017;340
31/03/2017;400
01/04/2017;380
02/04/2017;450
03/04/2017;280
04/04/2017;490
05/04/2017;390
06/04/2017;490
07/04/2017;400
08/04/2017;440
09/04/2017;620
10/04/2017;260
11/04/2017;460
12/04/2017;380
13/04/2017;440
14/04/2017;410
15/04/2017;500
16/04/2017;460
17/04/2017;300
18/04/2017;340
19/04/2017;360
20/04/2017;390
21/04/2017;400
22/04/2017;400
23/04/2017;520
24/04/2017;250
25/04/2017;300
26/04/2017;410
27/04/2017;390
28/04/2017;410
29/04/2017;520
30/04/2017;390
01/05/2017;290
02/05/2017;400
03/05/2017;360
04/05/2017;330
05/05/2017;450
06/05/2017;470
07/05/2017;410
08/05/2017;320
09/05/2017;350
10/05/2017;380
11/05/2017;410
12/05/2017;540
13/05/2017;420
14/05/2017;460
15/05/2017;260
16/05/2017;330
17/05/2017;410
18/05/2017;450
19/05/2017;350
20/05/2017;550
21/05/2017;490
22/05/2017;380
23/05/2017;490
24/05/2017;290
25/05/2017;440
26/05/2017;520
27/05/2017;460
28/05/2017;500
29/05/2017;320
30/05/2017;340
31/05/2017;420
01/06/2017;390
02/06/2017;400
03/06/2017;510
04/06/2017;620
05/06/2017;330
06/06/2017;560
07/06/2017;390
08/06/2017;380
09/06/2017;430
10/06/2017;440
11/06/2017;560
12/06/2017;430
13/06/2017;370
14/06/2017;410
15/06/2017;530
16/06/2017;460
17/06/2017;510
18/06/2017;590
19/06/2017;360
20/06/2017;430
21/06/2017;410
22/06/2017;400
23/06/2017;510
24/06/2017;710
25/06/2017;390
26/06/2017;310
27/06/2017;480
28/06/2017;430
29/06/2017;420
30/06/2017;510
01/07/2017;520
02/07/2017;570
03/07/2017;330
04/07/2017;400
05/07/2017;540
06/07/2017;370
07/07/2017;510
08/07/2017;460
09/07/2017;640
10/07/2017;380
11/07/2017;400
12/07/2017;440
13/07/2017;480
14/07/2017;560
15/07/2017;440
16/07/2017;600
17/07/2017;270
18/07/2017;440
19/07/2017;380
20/07/2017;370
21/07/2017;420
22/07/2017;520
23/07/2017;580
24/07/2017;450
25/07/2017;400
26/07/2017;390
27/07/2017;350
28/07/2017;450
29/07/2017;500
30/07/2017;590
31/07/2017;380
01/08/2017;270
02/08/2017;420
03/08/2017;320
04/08/2017;340
05/08/2017;430
06/08/2017;560
07/08/2017;330
08/08/2017;370
09/08/2017;390
10/08/2017;410
11/08/2017;390
12/08/2017;460
13/08/2017;570
14/08/2017;410
15/08/2017;510
16/08/2017;400
17/08/2017;410
18/08/2017;460
19/08/2017;480
20/08/2017;460
21/08/2017;240
22/08/2017;350
23/08/2017;460
24/08/2017;380
25/08/2017;370
26/08/2017;480
27/08/2017;460
28/08/2017;290
29/08/2017;350
30/08/2017;330
31/08/2017;370
01/09/2017;490
02/09/2017;580
03/09/2017;530
04/09/2017;350
05/09/2017;360
06/09/2017;430
07/09/2017;340
08/09/2017;530
09/09/2017;450
10/09/2017;480
11/09/2017;320
12/09/2017;370
13/09/2017;440
14/09/2017;430
15/09/2017;430
16/09/2017;350
17/09/2017;420
18/09/2017;370
19/09/2017;320
20/09/2017;350
21/09/2017;380
22/09/2017;470
23/09/2017;410
24/09/2017;480
25/09/2017;340
26/09/2017;280
27/09/2017;440
28/09/2017;490
29/09/2017;340
30/09/2017;430
01/10/2017;470
02/10/2017;230
03/10/2017;360
04/10/2017;330
05/10/2017;460
06/10/2017;400
07/10/2017;500
08/10/2017;330
09/10/2017;320
10/10/2017;390
11/10/2017;330
12/10/2017;340
13/10/2017;500
14/10/2017;460
15/10/2017;380
16/10/2017;300
17/10/2017;250
18/10/2017;410
19/10/2017;320
20/10/2017;390
21/10/2017;420
22/10/2017;370
23/10/2017;340
24/10/2017;310
25/10/2017;440
26/10/2017;240
27/10/2017;320
28/10/2017;370
29/10/2017;450
30/10/2017;310
31/10/2017;360
01/11/2017;490
02/11/2017;470
03/11/2017;380
04/11/2017;430
05/11/2017;470
06/11/2017;270
07/11/2017;370
08/11/2017;340
09/11/2017;400
10/11/2017;410
11/11/2017;360
12/11/2017;480
13/11/2017;510
14/11/2017;430
15/11/2017;390
16/11/2017;410
17/11/2017;470
18/11/2017;400
19/11/2017;360
20/11/2017;360
21/11/2017;310
22/11/2017;270
23/11/2017;420
24/11/2017;470
25/11/2017;430
26/11/2017;420
27/11/2017;240
28/11/2017;340
29/11/2017;450
30/11/2017;470
01/12/2017;270
02/12/2017;270
03/12/2017;310
04/12/2017;200
05/12/2017;180
06/12/2017;280
07/12/2017;240
08/12/2017;300
09/12/2017;290
10/12/2017;290
11/12/2017;260
12/12/2017;190
13/12/2017;250
14/12/2017;270
15/12/2017;210
16/12/2017;290
17/12/2017;290
18/12/2017;170
19/12/2017;340
20/12/2017;220
21/12/2017;340
22/12/2017;240
23/12/2017;310
24/12/2017;310
25/12/2017;180
26/12/2017;280
27/12/2017;230
28/12/2017;190
29/12/2017;150
30/12/2017;350
31/12/2017;270
01/01/2016;400
02/01/2016;360
03/01/2016;470
04/01/2016;290
05/01/2016;280
06/01/2016;260
07/01/2016;240
08/01/2016;300
09/01/2016;400
10/01/2016;560
11/01/2016;250
12/01/2016;300
13/01/2016;180
14/01/2016;340
15/01/2016;360
16/01/2016;370
17/01/2016;470
18/01/2016;310
19/01/2016;380
20/01/2016;340
21/01/2016;370
22/01/2016;450
23/01/2016;440
24/01/2016;430
25/01/2016;240
26/01/2016;190
27/01/2016;360
28/01/2016;310
29/01/2016;360
30/01/2016;340
31/01/2016;480
01/02/2016;150
02/02/2016;310
03/02/2016;310
04/02/2016;410
05/02/2016;480
06/02/2016;450
07/02/2016;460
08/02/2016;460
09/02/2016;320
10/02/2016;350
11/02/2016;260
12/02/2016;500
13/02/2016;390
14/02/2016;550
15/02/2016;330
16/02/2016;350
17/02/2016;290
18/02/2016;280
19/02/2016;460
20/02/2016;510
21/02/2016;440
22/02/2016;330
23/02/2016;270
24/02/2016;300
25/02/2016;410
26/02/2016;390
27/02/2016;350
28/02/2016;510
29/02/2016;280
01/03/2016;230
02/03/2016;430
03/03/2016;610
04/03/2016;490
05/03/2016;400
06/03/2016;600
07/03/2016;350
08/03/2016;370
09/03/2016;450
10/03/2016;450
11/03/2016;550
12/03/2016;600
13/03/2016;620
14/03/2016;470
15/03/2016;490
16/03/2016;410
17/03/2016;560
18/03/2016;510
19/03/2016;550
20/03/2016;800
21/03/2016;410
22/03/2016;530
23/03/2016;360
24/03/2016;460
25/03/2016;400
26/03/2016;340
27/03/2016;590
28/03/2016;430
29/03/2016;480
30/03/2016;330
31/03/2016;470
01/04/2016;620
02/04/2016;770
03/04/2016;620
04/04/2016;450
05/04/2016;450
06/04/2016;380
07/04/2016;430
08/04/2016;580
09/04/2016;630
10/04/2016;750
11/04/2016;530
12/04/2016;390
13/04/2016;540
14/04/2016;610
15/04/2016;410
16/04/2016;680
17/04/2016;650
18/04/2016;490
19/04/2016;570
20/04/2016;500
21/04/2016;500
22/04/2016;650
23/04/2016;600
24/04/2016;620
25/04/2016;310
26/04/2016;470
27/04/2016;450
28/04/2016;610
29/04/2016;520
30/04/2016;500
01/05/2016;830
02/05/2016;460
03/05/2016;460
04/05/2016;580
05/05/2016;570
06/05/2016;580
07/05/2016;560
08/05/2016;770
09/05/2016;430
10/05/2016;430
11/05/2016;480
12/05/2016;520
13/05/2016;700
14/05/2016;640
15/05/2016;730
16/05/2016;510
17/05/2016;500
18/05/2016;480
19/05/2016;550
20/05/2016;650
21/05/2016;710
22/05/2016;530
23/05/2016;510
24/05/2016;570
25/05/2016;570
26/05/2016;630
27/05/2016;640
28/05/2016;500
29/05/2016;600
30/05/2016;420
31/05/2016;680
01/06/2016;550
02/06/2016;640
03/06/2016;810
04/06/2016;810
05/06/2016;790
06/06/2016;520
07/06/2016;620
08/06/2016;500
09/06/2016;620
10/06/2016;600
11/06/2016;660
12/06/2016;880
13/06/2016;510
14/06/2016;570
15/06/2016;540
16/06/2016;500
17/06/2016;740
18/06/2016;680
19/06/2016;590
20/06/2016;450
21/06/2016;640
22/06/2016;590
23/06/2016;580
24/06/2016;760
25/06/2016;540
26/06/2016;830
27/06/2016;510
28/06/2016;590
29/06/2016;610
30/06/2016;660
01/07/2016;660
02/07/2016;720
03/07/2016;740
04/07/2016;480
05/07/2016;480
06/07/2016;580
07/07/2016;500
08/07/2016;780
09/07/2016;770
10/07/2016;960
11/07/2016;450
12/07/2016;570
13/07/2016;670
14/07/2016;650
15/07/2016;780
16/07/2016;790
17/07/2016;740
18/07/2016;520
19/07/2016;630
20/07/2016;630
21/07/2016;800
22/07/2016;760
23/07/2016;810
24/07/2016;890
25/07/2016;540
26/07/2016;630
27/07/2016;600
28/07/2016;680
29/07/2016;670
30/07/2016;730
31/07/2016;700
01/08/2016;460
02/08/2016;570
03/08/2016;460
04/08/2016;470
05/08/2016;530
06/08/2016;560
07/08/2016;770
08/08/2016;450
09/08/2016;550
10/08/2016;520
11/08/2016;660
12/08/2016;600
13/08/2016;590
14/08/2016;760
15/08/2016;470
16/08/2016;590
17/08/2016;530
18/08/2016;560
19/08/2016;590
20/08/2016;730
21/08/2016;580
22/08/2016;320
23/08/2016;650
24/08/2016;470
25/08/2016;540
26/08/2016;590
27/08/2016;660
28/08/2016;730
29/08/2016;610
30/08/2016;530
31/08/2016;600
01/09/2016;560
02/09/2016;650
03/09/2016;660
04/09/2016;660
05/09/2016;460
06/09/2016;480
07/09/2016;570
08/09/2016;620
09/09/2016;630
10/09/2016;590
11/09/2016;480
12/09/2016;480
13/09/2016;530
14/09/2016;490
15/09/2016;550
16/09/2016;610
17/09/2016;560
18/09/2016;800
19/09/2016;380
20/09/2016;470
21/09/2016;570
22/09/2016;420
23/09/2016;560
24/09/2016;690
25/09/2016;640
26/09/2016;410
27/09/2016;490
28/09/2016;530
29/09/2016;530
30/09/2016;650
01/10/2016;580
02/10/2016;570
03/10/2016;330
04/10/2016;450
05/10/2016;550
06/10/2016;460
07/10/2016;560
08/10/2016;440
09/10/2016;530
10/10/2016;410
11/10/2016;470
12/10/2016;340
13/10/2016;530
14/10/2016;440
15/10/2016;710
16/10/2016;660
17/10/2016;400
18/10/2016;430
19/10/2016;470
20/10/2016;400
21/10/2016;490
22/10/2016;470
23/10/2016;570
24/10/2016;420
25/10/2016;440
26/10/2016;540
27/10/2016;630
28/10/2016;510
29/10/2016;630
30/10/2016;560
31/10/2016;510
01/11/2016;630
02/11/2016;520
03/11/2016;700
04/11/2016;530
05/11/2016;670
06/11/2016;610
07/11/2016;390
08/11/2016;480
09/11/2016;450
10/11/2016;550
11/11/2016;580
12/11/2016;700
13/11/2016;510
14/11/2016;350
15/11/2016;530
16/11/2016;440
17/11/2016;540
18/11/2016;640
19/11/2016;550
20/11/2016;780
21/11/2016;500
22/11/2016;670
23/11/2016;460
24/11/2016;390
25/11/2016;580
26/11/2016;730
27/11/2016;700
28/11/2016;330
29/11/2016;480
30/11/2016;530
01/12/2016;270
02/12/2016;370
03/12/2016;320
04/12/2016;570
05/12/2016;410
06/12/2016;370
07/12/2016;320
08/12/2016;350
09/12/2016;320
10/12/2016;430
11/12/2016;440
12/12/2016;260
13/12/2016;290
14/12/2016;300
15/12/2016;470
16/12/2016;440
17/12/2016;520
18/12/2016;500
19/12/2016;300
20/12/2016;240
21/12/2016;390
22/12/2016;340
23/12/2016;330
24/12/2016;400
25/12/2016;420
26/12/2016;290
27/12/2016;380
28/12/2016;300
29/12/2016;500
30/12/2016;500
31/12/2016;520
01/01/2017;510
02/01/2017;280
03/01/2017;380
04/01/2017;350
05/01/2017;450
06/01/2017;460
07/01/2017;410
08/01/2017;350
09/01/2017;230
10/01/2017;300
11/01/2017;360
12/01/2017;340
13/01/2017;390
14/01/2017;470
15/01/2017;470
16/01/2017;240
17/01/2017;360
18/01/2017;380
19/01/2017;220
20/01/2017;400
21/01/2017;380
22/01/2017;410
23/01/2017;230
24/01/2017;300
25/01/2017;350
26/01/2017;300
27/01/2017;450
28/01/2017;370
29/01/2017;490
30/01/2017;360
31/01/2017;330
01/02/2017;380
02/02/2017;460
03/02/2017;390
04/02/2017;440
05/02/2017;420
06/02/2017;200
07/02/2017;340
08/02/2017;430
09/02/2017;530
10/02/2017;410
11/02/2017;550
12/02/2017;450
13/02/2017;420
14/02/2017;390
15/02/2017;390
16/02/2017;420
17/02/2017;420
18/02/2017;540
19/02/2017;310
20/02/2017;350
21/02/2017;350
22/02/2017;370
23/02/2017;440
24/02/2017;380
25/02/2017;390
26/02/2017;470
27/02/2017;260
28/02/2017;400
01/03/2017;420
02/03/2017;510
03/03/2017;470
04/03/2017;700
05/03/2017;530
06/03/2017;450
07/03/2017;420
08/03/2017;450
09/03/2017;570
10/03/2017;440
11/03/2017;480
12/03/2017;580
13/03/2017;300
14/03/2017;430
15/03/2017;430
16/03/2017;580
17/03/2017;590
18/03/2017;530
19/03/2017;700
20/03/2017;330
21/03/2017;340
22/03/2017;490
23/03/2017;510
24/03/2017;550
25/03/2017;530
26/03/2017;650
27/03/2017;320
28/03/2017;460
29/03/2017;470
30/03/2017;390
31/03/2017;600
01/04/2017;680
02/04/2017;710
03/04/2017;440
04/04/2017;610
05/04/2017;690
06/04/2017;640
07/04/2017;480
08/04/2017;590
09/04/2017;630
10/04/2017;470
11/04/2017;600
12/04/2017;500
13/04/2017;540
14/04/2017;470
15/04/2017;620
16/04/2017;750
17/04/2017;500
18/04/2017;440
19/04/2017;510
20/04/2017;580
21/04/2017;580
22/04/2017;630
23/04/2017;690
24/04/2017;330
25/04/2017;580
26/04/2017;500
27/04/2017;500
28/04/2017;680
29/04/2017;700
30/04/2017;740
01/05/2017;480
02/05/2017;610
03/05/2017;540
04/05/2017;490
05/05/2017;620
06/05/2017;680
07/05/2017;680
08/05/2017;600
09/05/2017;430
10/05/2017;560
11/05/2017;530
12/05/2017;480
13/05/2017;710
14/05/2017;770
15/05/2017;430
16/05/2017;430
17/05/2017;630
18/05/2017;760
19/05/2017;600
20/05/2017;680
21/05/2017;680
22/05/2017;440
23/05/2017;600
24/05/2017;580
25/05/2017;730
26/05/2017;600
27/05/2017;680
28/05/2017;510
29/05/2017;550
30/05/2017;420
31/05/2017;520
01/06/2017;600
02/06/2017;750
03/06/2017;670
04/06/2017;700
05/06/2017;490
06/06/2017;540
07/06/2017;690
08/06/2017;600
09/06/2017;540
10/06/2017;780
11/06/2017;840
12/06/2017;590
13/06/2017;690
14/06/2017;640
15/06/2017;650
16/06/2017;550
17/06/2017;720
18/06/2017;850
19/06/2017;600
20/06/2017;650
21/06/2017;580
22/06/2017;560
23/06/2017;560
24/06/2017;750
25/06/2017;670
26/06/2017;660
27/06/2017;480
28/06/2017;700
29/06/2017;690
30/06/2017;580
01/07/2017;720
02/07/2017;960
03/07/2017;470
04/07/2017;550
05/07/2017;640
06/07/2017;620
07/07/2017;790
08/07/2017;860
09/07/2017;800
10/07/2017;460
11/07/2017;500
12/07/2017;680
13/07/2017;650
14/07/2017;690
15/07/2017;780
16/07/2017;710
17/07/2017;530
18/07/2017;590
19/07/2017;570
20/07/2017;500
21/07/2017;490
22/07/2017;820
23/07/2017;950
24/07/2017;550
25/07/2017;580
26/07/2017;590
27/07/2017;790
28/07/2017;640
29/07/2017;650
30/07/2017;900
31/07/2017;520
01/08/2017;520
02/08/2017;560
03/08/2017;620
04/08/2017;620
05/08/2017;750
06/08/2017;760
07/08/2017;530
08/08/2017;620
09/08/2017;460
10/08/2017;640
11/08/2017;820
12/08/2017;690
13/08/2017;630
14/08/2017;340
15/08/2017;540
16/08/2017;660
17/08/2017;640
18/08/2017;680
19/08/2017;570
20/08/2017;690
21/08/2017;510
22/08/2017;680
23/08/2017;590
24/08/2017;630
25/08/2017;570
26/08/2017;830
27/08/2017;740
28/08/2017;520
29/08/2017;710
30/08/2017;430
31/08/2017;700
01/09/2017;590
02/09/2017;530
03/09/2017;570
04/09/2017;470
05/09/2017;510
06/09/2017;540
07/09/2017;530
08/09/2017;480
09/09/2017;430
10/09/2017;680
11/09/2017;480
12/09/2017;530
13/09/2017;460
14/09/2017;560
15/09/2017;540
16/09/2017;540
17/09/2017;730
18/09/2017;280
19/09/2017;420
20/09/2017;540
21/09/2017;610
22/09/2017;530
23/09/2017;720
24/09/2017;660
25/09/2017;400
26/09/2017;400
27/09/2017;620
28/09/2017;440
29/09/2017;590
30/09/2017;620
01/10/2017;500
02/10/2017;420
03/10/2017;490
04/10/2017;480
05/10/2017;550
06/10/2017;570
07/10/2017;500
08/10/2017;620
09/10/2017;430
10/10/2017;520
11/10/2017;530
12/10/2017;590
13/10/2017;550
14/10/2017;600
15/10/2017;610
16/10/2017;450
17/10/2017;400
18/10/2017;520
19/10/2017;580
20/10/2017;550
21/10/2017;540
22/10/2017;650
23/10/2017;420
24/10/2017;520
25/10/2017;460
26/10/2017;360
27/10/2017;550
28/10/2017;520
29/10/2017;630
30/10/2017;380
31/10/2017;430
01/11/2017;480
02/11/2017;530
03/11/2017;580
04/11/2017;570
05/11/2017;710
06/11/2017;400
07/11/2017;590
08/11/2017;470
09/11/2017;600
10/11/2017;590
11/11/2017;500
12/11/2017;680
13/11/2017;390
14/11/2017;500
15/11/2017;570
16/11/2017;540
17/11/2017;530
18/11/2017;790
19/11/2017;790
20/11/2017;400
21/11/2017;460
22/11/2017;430
23/11/2017;360
24/11/2017;550
25/11/2017;690
26/11/2017;630
27/11/2017;470
28/11/2017;450
29/11/2017;590
30/11/2017;610
01/12/2017;500
02/12/2017;460
03/12/2017;620
04/12/2017;360
05/12/2017;340
06/12/2017;320
07/12/2017;340
08/12/2017;420
09/12/2017;520
10/12/2017;570
11/12/2017;370
12/12/2017;270
13/12/2017;340
14/12/2017;480
15/12/2017;370
16/12/2017;680
17/12/2017;510
18/12/2017;340
19/12/2017;320
20/12/2017;390
21/12/2017;370
22/12/2017;440
23/12/2017;400
24/12/2017;410
25/12/2017;300
26/12/2017;340
27/12/2017;330
28/12/2017;460
29/12/2017;560
30/12/2017;500
31/12/2017;510
01/01/2016;410
02/01/2016;420
03/01/2016;310
04/01/2016;180
05/01/2016;320
06/01/2016;260
07/01/2016;320
08/01/2016;330
09/01/2016;270
10/01/2016;350
11/01/2016;220
12/01/2016;280
13/01/2016;280
14/01/2016;470
15/01/2016;350
16/01/2016;330
17/01/2016;280
18/01/2016;290
19/01/2016;280
20/01/2016;410
21/01/2016;250
22/01/2016;310
23/01/2016;350
24/01/2016;280
25/01/2016;120
26/01/2016;230
27/01/2016;260
28/01/2016;230
29/01/2016;310
30/01/2016;270
31/01/2016;390
01/02/2016;300
02/02/2016;400
03/02/2016;430
04/02/2016;330
05/02/2016;370
06/02/2016;310
07/02/2016;450
08/02/2016;220
09/02/2016;370
10/02/2016;350
11/02/2016;430
12/02/2016;470
13/02/2016;370
14/02/2016;490
15/02/2016;240
16/02/2016;280
17/02/2016;380
18/02/2016;290
19/02/2016;390
20/02/2016;430
21/02/2016;440
22/02/2016;190
23/02/2016;310
24/02/2016;300
25/02/2016;390
26/02/2016;290
27/02/2016;380
28/02/2016;390
29/02/2016;350
01/03/2016;390
02/03/2016;350
03/03/2016;520
04/03/2016;370
05/03/2016;500
06/03/2016;480
07/03/2016;290
08/03/2016;250
09/03/2016;240
10/03/2016;390
11/03/2016;420
12/03/2016;500
13/03/2016;520
14/03/2016;320
15/03/2016;490
16/03/2016;350
17/03/2016;450
18/03/2016;330
19/03/2016;360
20/03/2016;450
21/03/2016;300
22/03/2016;360
23/03/2016;310
24/03/2016;430
25/03/2016;430
26/03/2016;470
27/03/2016;600
28/03/2016;270
29/03/2016;300
30/03/2016;370
31/03/2016;360
01/04/2016;600
